timestamps,TP9,AF7,AF8,TP10,Right AUX
1587072149.064,275.391,-37.598,-333.008,-113.281,0.000
1587072149.068,159.668,-36.133,-441.406,-78.125,0.000
1587072149.072,-289.062,-40.527,-412.109,57.129,0.000
1587072149.076,-255.859,-44.434,-350.586,55.664,0.000
1587072149.080,194.336,-44.434,-338.867,-60.059,0.000
1587072149.084,245.117,-39.062,-305.664,-94.238,0.000
1587072149.087,-173.828,-29.785,-344.238,8.301,0.000
1587072149.091,-327.148,-33.691,-448.730,71.289,0.000
1587072149.095,90.820,-41.992,-529.297,-26.855,0.000
1587072149.099,311.523,-39.551,-476.074,-119.629,0.000
1587072149.103,-64.941,-35.645,-299.805,-42.480,0.000
1587072149.107,-354.980,-41.016,-396.484,80.078,0.000
1587072149.111,-58.105,-44.922,-460.449,12.695,0.000
1587072149.115,323.242,-39.062,-321.289,-108.887,0.000
1587072149.119,78.613,-34.180,-260.742,-61.523,0.000
1587072149.123,-342.773,-37.598,-418.945,67.383,0.000
1587072149.127,-153.809,-40.039,-413.574,62.012,0.000
1587072149.130,266.602,-37.598,-282.715,-82.520,0.000
1587072149.134,171.875,-35.645,-310.547,-82.520,0.000
1587072149.138,-262.207,-41.992,-471.680,68.848,0.000
1587072149.142,-272.461,-44.434,-518.555,80.566,0.000
1587072149.146,166.504,-34.180,-292.969,-55.176,0.000
1587072149.150,276.855,-34.668,-210.449,-107.910,0.000
1587072149.154,-148.926,-42.480,-432.617,3.418,0.000
1587072149.158,-337.891,-40.039,-487.305,88.867,0.000
1587072149.162,58.594,-40.527,-348.633,-30.273,0.000
1587072149.166,342.285,-35.156,-273.926,-127.441,0.000
1587072149.170,-7.812,-33.691,-359.375,-24.902,0.000
1587072149.173,-374.512,-38.574,-465.332,81.543,0.000
1587072149.177,-88.379,-36.133,-318.848,26.855,0.000
1587072149.181,307.617,-30.762,-225.098,-99.121,0.000
1587072149.185,105.957,-38.086,-477.539,-82.031,0.000
1587072149.189,-330.078,-45.898,-590.332,60.059,0.000
1587072149.193,-194.824,-33.691,-320.801,52.246,0.000
