timestamps,TP9,AF7,AF8,TP10,Right AUX
1587066418.159,-39.551,-69.336,-468.750,-32.227,0.000
1587066418.163,-66.406,-12.695,-440.430,-72.754,0.000
1587066418.167,-44.434,-90.820,-492.676,-61.523,0.000
1587066418.171,-33.691,84.961,-305.176,-49.805,0.000
1587066418.175,-42.969,116.699,-288.574,-47.363,0.000
1587066418.178,-57.129,-69.824,-465.332,-58.594,0.000
1587066418.182,-49.316,-221.191,-591.309,-50.293,0.000
1587066418.186,-10.742,-168.945,-517.090,-14.648,0.000
1587066418.190,-31.250,131.836,-322.266,-34.668,0.000
1587066418.194,-68.359,20.996,-455.566,-50.293,0.000
1587066418.198,-65.918,-170.410,-568.359,-45.898,0.000
1587066418.202,-42.480,-1.953,-387.207,-44.434,0.000
1587066418.206,-33.203,131.348,-273.438,-39.551,0.000
1587066418.210,-45.410,25.879,-349.121,-36.621,0.000
1587066418.214,-45.898,-133.789,-516.602,-30.273,0.000
1587066418.218,-28.809,-57.617,-434.570,-40.039,0.000
1587066418.221,-5.859,8.301,-341.309,-38.086,0.000
1587066418.225,-23.926,-96.191,-450.684,-39.062,0.000
1587066418.229,-34.180,-293.457,-651.367,-40.527,0.000
1587066418.233,-37.598,-76.660,-463.867,-44.434,0.000
1587066418.237,-26.367,175.781,-270.996,-36.133,0.000
1587066418.241,-25.879,37.598,-395.020,-26.855,0.000
1587066418.245,-51.758,-90.820,-431.641,-46.387,0.000
1587066418.249,-62.500,-8.301,-361.328,-52.734,0.000
1587066418.253,-27.344,97.168,-283.203,-23.926,0.000
1587066418.257,8.301,28.809,-352.051,-10.254,0.000
1587066418.260,-18.555,-62.988,-412.598,-37.598,0.000
1587066418.264,-62.012,-21.484,-359.863,-63.477,0.000
1587066418.268,-44.434,33.691,-323.242,-34.180,0.000
1587066418.272,3.906,-110.352,-435.059,7.812,0.000
1587066418.276,-11.719,-238.281,-496.094,-0.977,0.000
1587066418.280,-46.387,-92.285,-457.031,-45.898,0.000
1587066418.284,-36.133,44.922,-381.836,-47.852,0.000
1587066418.288,-7.324,-6.348,-371.582,-14.648,0.000
1587066418.292,-7.812,-93.262,-444.824,-17.090,0.000
1587066418.296,-62.012,-41.504,-418.457,-56.152,0.000
1587066418.300,-73.242,16.602,-355.957,-62.012,0.000
1587066418.303,-18.555,-10.742,-409.668,-25.879,0.000
1587066418.307,-17.578,24.414,-363.281,-23.926,0.000
1587066418.311,-66.895,26.855,-318.359,-55.664,0.000
1587066418.315,-71.289,-73.242,-432.129,-59.570,0.000
1587066418.319,-15.625,-159.180,-509.277,-15.625,0.000
1587066418.323,10.254,-41.992,-404.785,-8.301,0.000
1587066418.327,-32.227,82.520,-301.758,-41.016,0.000
1587066418.331,-56.152,-57.617,-421.875,-44.922,0.000
1587066418.335,-11.230,-283.203,-611.816,-5.859,0.000
1587066418.339,-3.906,-42.969,-419.434,-12.695,0.000
1587066418.343,-49.805,126.953,-274.902,-48.340,0.000
1587066418.346,-75.684,-89.844,-451.660,-59.570,0.000
1587066418.350,-58.105,-88.379,-420.898,-46.875,0.000
1587066418.354,-30.273,68.359,-290.527,-22.461,0.000
1587066418.358,-39.062,46.875,-339.844,-40.527,0.000
1587066418.362,-62.012,-118.652,-470.215,-59.570,0.000
1587066418.366,-45.898,-203.613,-489.258,-53.223,0.000
1587066418.370,-9.766,-56.641,-348.145,-39.551,0.000
1587066418.374,-31.738,48.340,-353.027,-36.621,0.000
1587066418.378,-58.594,-169.922,-499.512,-37.109,0.000
1587066418.382,-40.527,-313.965,-532.715,-32.715,0.000
1587066418.385,-23.926,-58.105,-400.879,-27.832,0.000
1587066418.389,-26.367,106.445,-285.645,-36.621,0.000
1587066418.393,-47.852,-61.035,-445.801,-52.246,0.000
1587066418.397,-61.523,-130.371,-511.230,-63.477,0.000
1587066418.401,-41.016,41.504,-337.891,-55.664,0.000
1587066418.405,-14.160,78.613,-283.691,-26.855,0.000
1587066418.409,-22.461,-90.820,-458.008,-24.902,0.000
1587066418.413,-50.781,-176.270,-541.992,-43.945,0.000
1587066418.417,-53.711,-51.270,-407.227,-52.246,0.000
1587066418.421,-21.484,56.641,-295.898,-35.156,0.000
1587066418.425,-18.066,-173.828,-502.930,-11.719,0.000
1587066418.428,-70.312,-91.797,-435.059,-50.293,0.000
1587066418.432,-81.543,84.961,-312.012,-70.801,0.000
1587066418.436,-31.738,43.945,-298.340,-40.527,0.000
1587066418.440,-20.996,5.859,-316.406,-21.973,0.000
1587066418.444,-55.664,15.137,-316.406,-42.969,0.000
1587066418.448,-61.035,-47.363,-399.902,-59.570,0.000
1587066418.452,-25.879,-111.816,-480.957,-31.738,0.000
1587066418.456,-7.812,-71.777,-417.480,-22.461,0.000
1587066418.460,-37.598,-119.141,-448.242,-41.992,0.000
1587066418.464,-73.730,-98.145,-417.480,-59.570,0.000
1587066418.468,-35.156,-138.672,-459.473,-34.180,0.000
1587066418.471,6.836,-210.938,-480.469,6.836,0.000
1587066418.475,-34.668,14.648,-380.859,-23.926,0.000
1587066418.479,-60.059,-110.840,-543.945,-53.223,0.000
1587066418.483,-53.223,-112.305,-514.160,-42.969,0.000
1587066418.487,-30.273,105.469,-262.695,-21.484,0.000
1587066418.491,-26.855,91.309,-296.875,-27.344,0.000
1587066418.495,-61.035,-32.227,-405.762,-49.805,0.000
1587066418.499,-71.777,-137.207,-535.156,-59.082,0.000
1587066418.503,-42.480,-37.598,-426.758,-54.199,0.000
1587066418.507,-12.207,-6.836,-387.207,-38.574,0.000
1587066418.510,-44.434,-140.137,-526.855,-42.480,0.000
1587066418.514,-70.801,-327.148,-677.246,-43.457,0.000
1587066418.518,-69.336,-84.473,-450.195,-50.293,0.000
1587066418.522,-70.312,209.473,-225.586,-60.547,0.000
1587066418.526,-80.566,12.207,-390.137,-57.129,0.000
1587066418.530,-95.703,-148.926,-474.121,-72.754,0.000
1587066418.534,-72.266,-9.766,-359.375,-72.266,0.000
1587066418.538,-38.574,103.516,-243.164,-45.410,0.000
1587066418.542,-39.551,-14.648,-400.879,-31.738,0.000
1587066418.546,-61.523,-108.887,-458.008,-57.617,0.000
1587066418.550,-70.801,-99.609,-458.984,-61.035,0.000
1587066418.553,-29.297,-54.199,-437.012,-33.203,0.000
1587066418.557,-25.391,-86.426,-435.547,-21.973,0.000
1587066418.561,-66.895,-242.676,-546.387,-38.574,0.000
1587066418.565,-96.191,-9.277,-422.852,-79.102,0.000
1587066418.569,-57.129,111.328,-328.613,-52.246,0.000
1587066418.573,-20.508,-67.383,-451.172,-11.230,0.000
1587066418.577,-55.176,-98.633,-499.512,-32.715,0.000
1587066418.581,-89.355,20.508,-376.465,-67.871,0.000
1587066418.585,-51.758,65.430,-308.105,-46.875,0.000
1587066418.589,-7.812,-20.508,-411.133,-4.395,0.000
1587066418.593,-29.297,3.906,-376.465,-15.137,0.000
1587066418.596,-56.152,6.836,-355.957,-38.086,0.000
1587066418.600,-42.969,-154.297,-527.832,-20.020,0.000
1587066418.604,5.371,-259.766,-616.699,29.297,0.000
1587066418.608,-13.672,-72.754,-457.520,11.719,0.000
1587066418.612,-70.801,96.680,-337.402,-40.039,0.000
1587066418.616,-57.129,28.809,-390.137,-33.203,0.000
1587066418.620,-21.973,1.465,-338.867,-10.742,0.000
1587066418.624,-25.391,74.219,-285.645,-14.160,0.000
1587066418.628,-51.270,-2.930,-382.324,-29.785,0.000
1587066418.632,-48.828,-135.742,-494.629,-27.832,0.000
1587066418.635,-32.715,1.953,-358.887,-19.531,0.000
1587066418.639,-6.348,127.441,-236.816,-17.090,0.000
1587066418.643,-16.113,-23.926,-372.559,-23.926,0.000
1587066418.647,-64.941,-229.980,-546.875,-28.320,0.000
